,match_id,game_time,game_duration,player0,player1,player2,player3,player4,player5,player6,player7,player8,player9
67,NA1_4215682158,1644712704760,1472,Aatrox,Viego,Anivia,Ezreal,Alistar,Gangplank,Vi,Nunu,Swain,Taric
68,NA1_4215606994,1644710174885,1685,Camille,LeeSin,Yasuo,Varus,Sona,Fiora,Khazix,Ahri,Kaisa,Bard
69,NA1_4227306184,1645751023347,210,,,,,,Riven,,,,
70,NA1_4229180014,1645739011820,1696,Sett,Gragas,Yorick,Senna,Blitzcrank,Renekton,Udyr,Sion,Zeri,Renata
71,NA1_4229155099,1645736874797,1537,Gangplank,Nocturne,Veigar,Draven,Gragas,Mordekaiser,Kayn,Xerath,Aphelios,Lux
72,NA1_4229120190,1645733831682,2243,Darius,Qiyana,Viktor,Jinx,Thresh,Heimerdinger,Zac,Veigar,Aphelios,Blitzcrank
73,NA1_4227384486,1645684683781,800,,,,,,,Seraphine,,,
74,NA1_4226958899,1645576596447,2264,Jax,Diana,Zed,MissFortune,Bard,Zac,Graves,Yasuo,Aphelios,Yuumi
75,NA1_4226899549,1645573281346,1857,MonkeyKing,Diana,Orianna,Jhin,Thresh,Illaoi,Hecarim,Pyke,Veigar,Soraka
76,NA1_4226789321,1645564333048,2026,Fiora,XinZhao,Lux,Zeri,Nautilus,Yasuo,Gragas,Corki,Kaisa,Senna
77,NA1_4226774178,1645561515270,2081,Irelia,Hecarim,Rumble,Zeri,Renata,Volibear,Pantheon,Katarina,Tristana,Seraphine
78,NA1_4225888660,1645488235880,2012,Camille,Diana,Zed,MissFortune,Braum,Jayce,Viego,Fizz,Lucian,Nami
79,NA1_4225671206,1645473092879,1859,Mordekaiser,Hecarim,Yasuo,Jhin,Renata,Teemo,Ekko,Akali,Tristana,Pyke
80,NA1_4225636289,1645470838003,1770,Gwen,Singed,Ziggs,Jinx,Morgana,Sett,Hecarim,Yasuo,Lucian,Pantheon
81,NA1_4225273623,1645426790945,1618,Garen,LeeSin,Galio,Samira,Soraka,Gwen,Kayn,Zeri,Ezreal,Renata
82,NA1_4224601403,1645391642434,1830,Irelia,Kayn,Ryze,Jhin,Zilean,Graves,Viego,Katarina,Samira,Renata
83,NA1_4224543482,1645388761121,1845,Tryndamere,Sejuani,Orianna,Samira,Nautilus,Vayne,Diana,TwistedFate,Senna,Renata
84,NA1_4224449186,1645386992382,1265,MonkeyKing,Qiyana,Zed,Zeri,Lux,Riven,Hecarim,DrMundo,Samira,Shaco
85,NA1_4223836555,1645343557141,1115,Zeri,Kayn,Orianna,MissFortune,Soraka,Sett,RekSai,Viktor,Swain,Trundle
86,NA1_4223840950,1645341615386,1599,DrMundo,Kayn,Orianna,MissFortune,Lux,Ornn,LeeSin,Zed,Kaisa,Renata
87,NA1_4221116145,1645158588109,1978,Chogath,XinZhao,Katarina,Aphelios,Lulu,DrMundo,Nunu,Yasuo,Samira,Renata
88,NA1_4221038018,1645156472889,1401,Singed,Ekko,Yone,Zeri,Karma,Illaoi,JarvanIV,Viktor,Varus,Renata
89,NA1_4188018821,1642834088285,1875,Darius,Graves,Orianna,Caitlyn,Thresh,Malphite,Kindred,Azir,Jinx,Lulu
90,NA1_4188010192,1642831882642,1252,Gwen,Sejuani,Darius,Aphelios,Yuumi,Warwick,Trundle,Ahri,Zeri,Lulu
91,NA1_4182675526,1642490077262,1218,Jayce,Nunu,Xerath,Caitlyn,Zilean,Janna,XinZhao,AurelionSol,Jhin,Lulu
92,NA1_4182658570,1642487860497,1519,Gnar,Ekko,Talon,Samira,Rell,Malphite,Kindred,Akali,Caitlyn,Lux
93,NA1_4182601473,1642484811550,2557,Yorick,Kindred,Corki,Caitlyn,Blitzcrank,Sett,Evelynn,Xerath,Twitch,Lulu
94,NA1_4182573815,1642482854109,1516,Riven,LeeSin,Veigar,Caitlyn,Sona,Yorick,Kindred,TwistedFate,Aphelios,Lulu
95,NA1_4178432062,1642230633315,1420,Sylas,Diana,Jayce,Kaisa,Xerath,Gragas,Hecarim,Malzahar,Ashe,Lulu
96,NA1_4178355220,1642228375109,1910,Chogath,LeeSin,Yone,Vayne,Blitzcrank,Darius,Kindred,Vex,Jinx,Nami
97,NA1_4174560750,1641974096414,1691,Irelia,Hecarim,Katarina,Caitlyn,Blitzcrank,Camille,Karthus,Corki,Yasuo,Rakan
98,NA1_4174468517,1641972131431,1569,Kayle,Khazix,Irelia,Jinx,Galio,Corki,Hecarim,Jax,Aphelios,Nami
99,NA1_4174471994,1641969814821,1812,Jax,Shaco,Pantheon,Caitlyn,Karma,Shen,Kindred,Viktor,Sivir,Alistar
100,NA1_4171393179,1641772924022,2221,Urgot,Rammus,Viktor,Aphelios,Lulu,Gangplank,LeeSin,Cassiopeia,Samira,Rakan
101,NA1_4171315003,1641770499784,1592,Gangplank,Zac,Lissandra,Lucian,Bard,Akali,Elise,Yasuo,Kaisa,Yuumi
102,NA1_4171258954,1641768597163,1433,Sett,Kayn,Zoe,Jinx,Taric,Malphite,Ivern,Orianna,Caitlyn,Lulu
103,NA1_4171243025,1641766511538,1611,TahmKench,XinZhao,Yasuo,Jinx,Lulu,Shen,Hecarim,Azir,Vayne,Galio
104,NA1_4171214971,1641764382203,1748,Fiora,Diana,Jayce,Syndra,Leona,Camille,Ekko,Zed,Vayne,Lulu
105,NA1_4170311847,1641709910626,2239,Illaoi,Vi,Rumble,Vayne,Lulu,Jayce,Karthus,Ekko,Samira,Alistar
106,NA1_4170264139,1641707967857,1272,Camille,Ekko,Nasus,Vayne,Alistar,Teemo,Hecarim,Zed,Aphelios,Yuumi
107,NA1_4226881209,1645569715825,2640,Yone,Shaco,Veigar,Kaisa,Renata,Garen,LeeSin,Ahri,Draven,Karma
108,NA1_4226334282,1645510238164,1987,Camille,Khazix,Ekko,Aphelios,Thresh,Aatrox,LeeSin,Viktor,Jinx,Renata
109,NA1_4226237700,1645505065537,2599,Rengar,Ivern,Akali,Ezreal,Karma,Aatrox,Diana,Sylas,Veigar,Nami
110,NA1_4226198495,1645502933403,1761,DrMundo,Poppy,Anivia,Aphelios,Lulu,Yone,Diana,Yasuo,Jhin,Leona
111,NA1_4224623840,1645392842617,1530,Fiora,Warwick,Vex,Jinx,Anivia,Garen,Ekko,Kassadin,Vayne,Lulu
112,NA1_4223944165,1645347908543,1530,Yone,Viego,Sylas,Draven,Thresh,Poppy,Shaco,Fizz,Ezreal,Morgana
113,NA1_4223869399,1645345248971,1901,Akali,Kayn,TwistedFate,Jax,Malphite,Nidalee,Aatrox,Veigar,MissFortune,Brand
114,NA1_4223590723,1645329657653,1116,Akali,Trundle,Karma,Ashe,Renata,Jayce,Nocturne,Fizz,Jinx,TahmKench
115,NA1_4223530118,1645326778987,1911,Sett,Warwick,Akali,Varus,Morgana,Riven,XinZhao,Galio,Aphelios,Nautilus
116,NA1_4223483159,1645324826531,1591,Vayne,MasterYi,Vex,Zeri,Seraphine,Tryndamere,XinZhao,Galio,MissFortune,Karma
117,NA1_4223445106,1645322669005,1711,Gwen,Zac,Xerath,Jhin,Thresh,Urgot,Shaco,Viktor,Kaisa,Brand
118,NA1_4222800479,1645267812407,1658,Irelia,Viego,Vex,Kaisa,Nautilus,Nasus,Rammus,Corki,Heimerdinger,Yuumi
119,NA1_4222797001,1645265738452,1541,Akali,LeeSin,Ahri,Jinx,Morgana,Urgot,Gwen,Velkoz,Jhin,Thresh
120,NA1_4222756029,1645264094295,1211,Akali,Zed,Vex,Samira,Leona,Gragas,Graves,Ahri,Lucian,Sona
121,NA1_4220633107,1645131110310,1758,Leona,,,,,Nautilus,,,,
122,NA1_4220639930,1645129574606,1168,Nami,,,,,Janna,,,,
123,NA1_4220594985,1645126632299,2263,Rakan,,,,,Nami,,,,
124,NA1_4220561776,1645124388803,1899,Leona,,,,,Thresh,,,,
125,NA1_4213322864,1644532049720,1372,Camille,Shaco,Leblanc,Sivir,Leona,Yone,Viego,Orianna,Aphelios,Anivia
126,NA1_4212923690,1644482061297,1842,Shen,JarvanIV,Fizz,Zeri,Velkoz,Akali,Trundle,Garen,Vayne,Braum
